ICDNames,ICDCode
"Counselling related to combined sexual attitudes, sexual behaviour and sexual relationships",QA15.3
Other specified counselling related to sexuality,QA15.Y
"Counselling related to sexuality, unspecified",QA15.Z
Individual psychological or behavioural counselling,QA16
Marital or couples counselling,QA17
Family counselling,QA18
Group counselling,QA19
Discussion of issues surrounding impending death,QA1A
Concern about or fear of medical treatment,QA1B
Person with feared complaint in whom no diagnosis is made,QA1C
Contact with health services for other specified counselling,QA1Y
Contact with health services for unspecified counselling,QA1Z
Contact with health services for concerns about pregnancy,QA20
Contact with health services for contraceptive management,QA21
Contact with health services for postcoital contraception,QA21.0
Contact with health services for general counselling or advice on contraception,QA21.1
Contact with health services for insertion of contraceptive device,QA21.2
Contact with health services for sterilisation,QA21.3
Contact with health services for menstrual extraction,QA21.4
Surveillance of contraceptive drugs,QA21.5
Surveillance of contraceptive device,QA21.6
Other specified contact with health services for contraceptive management,QA21.Y
"Contact with health services for contraceptive management, unspecified",QA21.Z
Contact with health services for medically assisted reproduction,QA30
Contact with health services for assisted insemination,QA30.0
Contact with health services for assisted reproductive technology,QA30.1
Contact with health services for other assisted fertilisation methods,QA30.2
Other specified contact with health services for medically assisted reproduction,QA30.Y
"Contact with health services for medically assisted reproduction, unspecified",QA30.Z
Contact with health services for genetic counselling,QA31
Contact with health services for tuboplasty or vasoplasty after previous sterilisation,QA32
Contact with health services for preconception counselling,QA33
Contact with health services for fertility preservation counselling,QA34
Contact with health services by gestational carrier,QA35
Contact with health services for other specified procreative management,QA3Y
"Contact with health services for procreative management, unspecified",QA3Z
Pregnancy examination or test,QA40
Pregnant state,QA41
Supervision of normal pregnancy,QA42
Supervision of normal first pregnancy,QA42.0
Supervision of other specified normal pregnancy,QA42.Y
"Supervision of normal pregnancy, unspecified",QA42.Z
Supervision of high-risk pregnancy,QA43
Supervision of pregnancy with history of infertility,QA43.0
Supervision of pregnancy with history of abortive outcome,QA43.1
Supervision of pregnancy with other poor reproductive or obstetric history,QA43.2
Supervision of pregnancy with history of insufficient antenatal care,QA43.3
Supervision of elderly primigravida,QA43.4
Supervision of very young primigravida,QA43.5
Supervision of high-risk pregnancy due to social problems,QA43.6
Other specified supervision of high-risk pregnancy,QA43.Y
"Supervision of high-risk pregnancy, unspecified",QA43.Z
Expectant parent pre-birth visit,QA44
Antenatal screening,QA45
Antenatal screening for chromosomal anomalies,QA45.0
Antenatal screening due to raised alphafetoprotein level,QA45.1
Other specified antenatal screening,QA45.Y
"Antenatal screening, unspecified",QA45.Z
Outcome of delivery,QA46
Single live birth,QA46.0
Single stillbirth,QA46.1
"Twins, both liveborn",QA46.2
"Twins, one liveborn and one stillborn",QA46.3
"Twins, both stillborn",QA46.4
"Triplets, all liveborn",QA46.5
"Triplets, some liveborn",QA46.6
"Triplets, all stillborn",QA46.7
"Quadruplets, all liveborn",QA46.8
"Quadruplets, some liveborn",QA46.9
"Quadruplets, all stillborn",QA46.A
"Quintuplets, all liveborn",QA46.B
"Quintuplets, some liveborn",QA46.C
"Quintuplets, all stillborn",QA46.D
"Sextuplets, all liveborn",QA46.E
"Sextuplets, some liveborn",QA46.F
"Sextuplets, all stillborn",QA46.G
"Other multiple births, all liveborn",QA46.H
"Other multiple births, some liveborn",QA46.J
"Other multiple births, all stillborn",QA46.K
"Outcome of delivery, unspecified",QA46.Z
Liveborn infants according to place of birth,QA47
"Singleton, born in hospital",QA47.0
"Singleton, born outside hospital",QA47.1
"Singleton, unspecified as to place of birth",QA47.2
"Twin, born in hospital",QA47.3
"Twin, born outside hospital",QA47.4
"Twin, unspecified as to place of birth",QA47.5
"Multiple other than twins, born in hospital",QA47.6
"Multiple other than twins, born outside hospital",QA47.7
"Other multiple, unspecified as to place of birth",QA47.8
"Liveborn infants according to place of birth, unspecified",QA47.Z
Postpartum care or examination,QA48
Care or examination immediately after delivery,QA48.0
Care or examination of lactating mother,QA48.1
Routine postpartum follow-up,QA48.2
Other specified postpartum care or examination,QA48.Y
"Postpartum care or examination, unspecified",QA48.Z
Problems related to unwanted pregnancy,QA49
Problems related to multiparity,QA4A
Contact with health services for menopausal counselling,QA4B
Other specified contact with health services for reasons associated with reproduction,QA4Y
"Contact with health services for reasons associated with reproduction, unspecified",QA4Z
Embolisation without injury or harm,QA50
Foreign body accidentally left in body without injury or harm,QA51
Failure of sterile precautions without injury or harm,QA52
Pressure as potential mode of injury without injury or harm,QA53
"Other specified circumstances associated with a surgical or other medical procedure influencing the episode of care, without injury or harm",QA5Y
"Circumstances associated with a surgical or other medical procedure influencing the episode of care, without injury or harm, unspecified",QA5Z
Structural device failure without injury or harm,QA60
Functional device failure without injury or harm,QA61
"Dislodgement, misconnection or de-attachment of a surgical or medical device without injury or harm",QA62
Obstruction of device without injury or harm,QA63
Operator error without injury or harm,QA64
Combination or interaction of operator error and device failure without injury or harm,QA65
Other specified circumstances associated with a surgical or other medical device influencing the episode of care without injury or harm,QA6Y
"Circumstances associated with a surgical or other medical device influencing the episode of care without injury or harm, unspecified",QA6Z
Overdose of substance without injury or harm,QA70
Underdosing without injury or harm,QA71
Incorrect substance without injury or harm,QA72
Incorrect route of administration without injury or harm,QA73
Unspecified appropriateness of dosing or administration without injury or harm,QA74
Incorrect duration of administration or course of therapy without injury or harm,QA75
Medication or substance that is known to be an allergen without injury or harm,QA76
Medication or substance that is known to be contraindicated for the patient without injury or harm,QA77
Expired or deteriorated medication or substance without injury or harm,QA78
Drug or substance interactions without injury or harm,QA79
Inappropriate stoppage or discontinuation of drug without injury or harm,QA7A
"Other specified circumstances associated with exposure to a drug, medicament or biological substance influencing the episode of care without injury or harm",QA7Y
"Circumstances associated with exposure to a drug, medicament or biological substance influencing the episode of care without injury or harm, unspecified",QA7Z
Non-administration of necessary drug without injury or harm,QA80
Non-provision of necessary procedure without injury or harm,QA81
Problem associated with physical transfer of patient without injury or harm,QA82
Mismatched blood used in transfusion without injury or harm,QA83
Other problem with transfusion without injury or harm,QA84
Problem with physical restraints without injury or harm,QA85
Problem with isolation protocol without injury or harm,QA86
Problem with clinical documentation without injury or harm,QA87
Problem with clinical software without injury or harm,QA88
Incorrect diagnosis without injury or harm,QA89
Delayed diagnosis without injury or harm,QA8A
Delayed treatment without injury or harm,QA8B
"Problem with transitions of care, hand offs, or handovers without injury or harm",QA8C
Patient received diagnostic test or treatment intended for another patient without injury or harm,QA8D
Fall in health care without injury or harm,QA8E
Needle stick without injury or harm,QA8F
Other specified circumstances associated with other aspects of care influencing the episode of care without injury or harm,QA8Y
"Circumstances associated with other aspects of care influencing the episode of care without injury or harm, unspecified",QA8Z
Other specified health care related circumstances influencing the episode of care without injury or harm,QB0Y
"Health care related circumstances influencing the episode of care without injury or harm, unspecified",QB0Z
Medical services not available in home,QB10
Person awaiting admission to adequate facility elsewhere,QB11
Waiting period for investigation or treatment other than awaiting admission to adequate facility elsewhere,QB12
Organ transplant candidate,QB12.0
Other specified waiting period for investigation or treatment other than awaiting admission to adequate facility elsewhere,QB12.Y
"Waiting period for investigation or treatment other than awaiting admission to adequate facility elsewhere, unspecified",QB12.Z
Unavailability or inaccessibility of helping agencies other than health care facilities,QB13
Unavailability or inaccessibility of health care facilities,QB14
Medical services not available in current medical facility,QB15
Respite care,QB16
Other specified factors related to medical facilities and other health care,QB1Y
"Factors related to medical facilities and other health care, unspecified",QB1Z
Blood donor,QB20
Bone marrow donor,QB21
Kidney donor,QB22
Cornea donor,QB23
Liver donor,QB24
Heart donor,QB25
Donors of other specified organs or tissues,QB2Y
"Donors of organs or tissues, unspecified",QB2Z
Adjustment or management of implanted devices,QB30
Adjustment or management of implanted hearing device,QB30.0
Adjustment or management of infusion pump,QB30.1
Adjustment or management of cardiac devices,QB30.2
Adjustment or management of vascular access device,QB30.3
Adjustment or management of implanted gastric device,QB30.4
Fitting or adjustment of urinary device,QB30.5
Adjustment or management of breast implant,QB30.6
Adjustment or removal of myringotomy stent or tube,QB30.7
Adjustment and management of a neurostimulator,QB30.8
Fitting or adjustment of cerebrospinal fluid drainage device,QB30.9
Fitting or adjustment of neuropacemaker,QB30.A
"Fitting, adjustment or management of other specified implanted devices",QB30.Y
"Adjustment or management of implanted devices, unspecified",QB30.Z
"Fitting, adjustment or management of external devices",QB31
Fitting or adjustment of external prosthetic device,QB31.0
Fitting or adjustment of orthopaedic device,QB31.1
Fitting or adjustment of orthodontic device,QB31.2
Fitting or adjustment of dental prosthetic device,QB31.3
Fitting or adjustment of hearing aid,QB31.4
Fitting or adjustment of spectacles or contact lenses,QB31.5
"Fitting, adjustment or management of other specified external devices",QB31.Y
"Fitting, adjustment or management of external devices, unspecified",QB31.Z
"Fitting, adjustment or management of devices, unspecified",QB3Z
Dependence on aspirator,QB40
Dependence on respirator,QB41
Dependence on renal dialysis,QB42
Dependence on artificial heart,QB43
Dependence on wheelchair,QB44
Dependence on other specified machine or device,QB4Y
Dependence on unspecified machine or device,QB4Z
Presence of cardiac or vascular implants or grafts,QB50
Presence of electronic cardiac devices,QB50.0
Presence of aortocoronary bypass graft,QB50.1
Presence of prosthetic heart valve,QB50.2
Presence of xenogenic heart valve,QB50.3
Presence of coronary angioplasty implant or graft,QB50.4
Presence of other specified cardiac or vascular implants or grafts,QB50.Y
Presence of unspecified cardiac or vascular implants or grafts,QB50.Z
Presence of devices other than cardiac or vascular implants,QB51
Presence of a neurostimulator,QB51.0
Presence of urogenital implants,QB51.1
Presence of intraocular lens,QB51.2
Presence of otological or audiological implants,QB51.3
Presence of artificial larynx,QB51.4
Presence of endocrine implants,QB51.5
Presence of tooth-root or mandibular implants,QB51.6
Presence of orthopaedic joint implants,QB51.7
Presence of artificial eye,QB51.8
Presence of artificial limb,QB51.9
Presence of dental prosthetic device,QB51.A
Presence of external hearing-aid,QB51.B
Presence of contraceptive device,QB51.C
Presence of cerebrospinal fluid drainage device,QB51.D
Presence of other specified devices other than cardiac or vascular implants,QB51.Y
Presence of unspecified device,QB5Z
Presence of arthrodesis,QB60
Presence of artificial opening,QB61
Presence of tracheostomy,QB61.0
Presence of thoracostomy,QB61.1
Presence of gastrostomy,QB61.2
Presence of enterostomy,QB61.3
Presence of colostomy,QB61.4
Presence of cystostomy,QB61.5
Presence of nephrostomy,QB61.6
Presence of ureterostomy,QB61.7
Presence of urethrostomy,QB61.8
Presence of other artificial opening,QB61.Y
"Presence of artificial opening, unspecified",QB61.Z
Attention to artificial openings,QB62
Attention to tracheostomy,QB62.0
Attention to gastrostomy,QB62.1
Attention to ileostomy,QB62.2
Attention to colostomy,QB62.3
Attention to cystostomy,QB62.4
Attention to artificial vagina,QB62.5
Attention to nephrostomy,QB62.6
Attention to ureterostomy,QB62.7
Attention to urethrostomy,QB62.8
Attention to other artificial openings,QB62.Y
"Attention to artificial openings, unspecified",QB62.Z
Presence of transplanted organ or tissue,QB63
Presence of transplanted kidney,QB63.0
Presence of transplanted heart,QB63.1
Presence of transplanted lung,QB63.2
Presence of transplanted liver,QB63.3
Presence of transplanted skin,QB63.4
Presence of transplanted bone,QB63.5
Presence of transplanted bone marrow,QB63.6
Presence of transfused blood,QB63.7
Presence of transplanted stem cell,QB63.8
Presence of transplanted cornea,QB63.9
Presence of other transplanted organ or tissue,QB63.Y
"Presence of transplanted organ or tissue, unspecified",QB63.Z
Other specified surgical or postsurgical states,QB6Y
"Surgical or postsurgical states, unspecified",QB6Z
Convalescence following chemotherapy,QB70
Convalescence following psychotherapy,QB71
Convalescence following treatment of fracture,QB72
Convalescence following combined treatment,QB73
Other specified convalescence,QB7Y
"Convalescence, unspecified",QB7Z
Contact with health services for prophylactic surgery,QB80
Contact with health services for prophylactic surgery for risk-factors related to malignant neoplasms,QB80.0
Other specified contact with health services for prophylactic surgery,QB80.Y
"Contact with health services for prophylactic surgery, unspecified",QB80.Z
Contact with health services for plastic surgery for unacceptable cosmetic appearance other than hair transplant,QB81
Contact with health services for routine or ritual circumcision,QB82
Follow-up care involving plastic surgery,QB83
Follow-up care involving removal of fracture plate or other internal fixation device,QB84
"Attention to surgical dressings, drains or sutures",QB85
Contact with health services for hair transplant,QB86
Contact with health services for other specified surgical interventions,QB8Y
"Contact with health services for specific surgical interventions, unspecified",QB8Z
Contact with health services for ear piercing,QB90
Contact with health services for piercing of body site other than ear,QB91
Contact with health services for issue of repeat prescription,QB92
Contact with health services for orthodontic care,QB93
Care involving dialysis,QB94
Preparatory care for dialysis,QB94.0
Care involving extracorporeal dialysis,QB94.1
Care involving peritoneal dialysis,QB94.2
Care involving other specified dialysis,QB94.Y
"Care involving dialysis, unspecified",QB94.Z
Care involving use of rehabilitation procedures,QB95
Cardiac rehabilitation,QB95.0
Physical rehabilitation,QB95.1
Alcohol rehabilitation,QB95.2
Drug rehabilitation,QB95.3
Psychotherapy,QB95.4
Speech therapy,QB95.5
Orthoptic training,QB95.6
Occupational therapy or vocational rehabilitation,QB95.7
Tobacco rehabilitation,QB95.8
Care involving use of other specified rehabilitation procedures,QB95.Y
"Care involving use of rehabilitation procedures, unspecified",QB95.Z
Radiotherapy session,QB96
Chemotherapy session for neoplasm,QB97
Blood transfusion without reported diagnosis,QB98
Apheresis,QB99
Preparatory care for subsequent treatment,QB9A
Palliative care,QB9B
Allergen immunotherapy,QB9C
Other specified contact with health services for nonsurgical interventions not involving devices,QB9Y
"Contact with health services for nonsurgical interventions not involving devices, unspecified",QB9Z
Need for immunization against single bacterial diseases,QC00
Need for immunization against cholera alone,QC00.0
Need for immunization against typhoid-paratyphoid alone,QC00.1
Need for immunization against tuberculosis,QC00.2
Need for immunization against plague,QC00.3
Need for immunization against tularaemia,QC00.4
Need for immunization against tetanus alone,QC00.5
Need for immunization against diphtheria alone,QC00.6
Need for immunization against pertussis alone,QC00.7
Other specified need for immunization against single bacterial diseases,QC00.Y
"Need for immunization against single bacterial diseases, unspecified",QC00.Z
Need for immunization against certain single viral diseases,QC01
Need for immunization against poliomyelitis,QC01.0
Need for immunization against arthropod-borne viral encephalitis,QC01.1
Need for immunization against rabies,QC01.2
Need for immunization against yellow fever,QC01.3
Need for immunization against measles alone,QC01.4
Need for immunization against rubella alone,QC01.5
Need for immunization against viral hepatitis,QC01.6
Need for immunization against mumps alone,QC01.7
Need for immunization against influenza,QC01.8
Need for immunization against COVID-19,QC01.9
Other specified need for immunization against certain single viral diseases,QC01.Y
"Need for immunization against certain single viral diseases, unspecified",QC01.Z
Need for immunization against certain specified single infectious diseases,QC02
Need for immunization against leishmaniasis,QC02.0
Other specified need for immunization against certain specified single infectious diseases,QC02.Y
"Need for immunization against certain specified single infectious diseases, unspecified",QC02.Z
Need for immunization against combinations of infectious diseases,QC03
Need for immunization against cholera with typhoid-paratyphoid,QC03.0
"Need for immunization against diphtheria-tetanus-pertussis, combined",QC03.1
Need for immunization against diphtheria-tetanus-pertussis with typhoid-paratyphoid,QC03.2
Need for immunization against diphtheria-tetanus-pertussis with poliomyelitis,QC03.3
Need for immunization against measles-mumps-rubella,QC03.4
Other specified need for immunization against combinations of infectious diseases,QC03.Y
"Need for immunization against combinations of infectious diseases, unspecified",QC03.Z
Immunization not carried out,QC04
Immunization not carried out due to patient having had the disease,QC04.0
Immunization not carried out because of acute illness,QC04.1
Immunization not carried out because of chronic illness or condition of patient,QC04.2
Immunization not carried out because of immune-compromised state of patient,QC04.3
Immunization not carried out because of patient allergy to vaccine or component,QC04.4
Immunization not carried out because of patient refusal,QC04.5
Immunization not carried out because of caregiver refusal,QC04.6
Immunization not carried out due to lack of availability,QC04.7
Immunization not carried out for other reasons,QC04.Y
Immunization not carried out for unspecified reason,QC04.Z
Need for certain specified other prophylactic measures,QC05
Isolation,QC05.0
Prophylactic immunotherapy,QC05.1
Other specified prophylactic measures,QC05.Y
"Prophylactic measures, unspecified",QC05.Z
Underimmunization status,QC06
Other specified contact with health services related to immunizations or certain other prophylactic measures,QC0Y
"Contact with health services related to immunizations or certain other prophylactic measures, unspecified",QC0Z
Procedure not carried out because of contraindication,QC10
Procedure not carried out because of patients decision for reasons of belief or group pressure,QC11
Procedure not carried out because of patients decision for reasons other than belief or group pressure,QC12
Intervention not carried out for other reasons,QC1Y
"Intervention not carried out, unspecified reason",QC1Z
Person consulting on behalf of another person,QC20
Partner illness problem,QC20.0
Illness problem with child,QC20.1
Other specified person consulting on behalf of another person,QC20.Y
"Person consulting on behalf of another person, unspecified",QC20.Z
Healthy person accompanying sick person,QC21
Health supervision or care of abandoned infant,QC22
Other specified contact with health services associated with the health of others,QC2Y
"Contact with health services associated with the health of others, unspecified",QC2Z
Malingering,QC30
Personal history of malignant neoplasm,QC40
Personal history of malignant neoplasm of digestive organs,QC40.0
"Personal history of malignant neoplasm of trachea, bronchus or lung",QC40.1
"Personal history of malignant neoplasm of respiratory or intrathoracic organs other than the digestive organs, trachea, bronchus or lung",QC40.2
Personal history of malignant neoplasm of breast,QC40.3
Personal history of malignant neoplasm of genital organs,QC40.4
Personal history of malignant neoplasm of urinary tract,QC40.5
Personal history of leukaemia,QC40.6
"Personal history of other malignant neoplasms of lymphoid, haematopoietic or related tissues",QC40.7
Personal history of malignant neoplasm of other specified site,QC40.Y
Personal history of malignant neoplasm of unspecified site,QC40.Z
Personal history of non-malignant neoplasms,QC41
Personal history of infectious or parasitic diseases,QC42
Personal history of COVID-19,QC42.0
Other specified personal history of infectious or parasitic diseases,QC42.Y
"Personal history of infectious or parasitic diseases, unspecified",QC42.Z
Personal history of diseases of the blood or blood-forming organs,QC43
Personal history of diseases of the immune system,QC44
Personal history of anaphylaxis,QC44.0
Personal history of food-induced allergy or hypersensitivity,QC44.1
"Personal history of allergy to drugs, medicaments or biological substances",QC44.2
"Personal history of allergy, other than to drugs or biological substances",QC44.3
Other specified personal history of diseases of the immune system,QC44.Y
"Personal history of diseases of the immune system, unspecified",QC44.Z
"Personal history of endocrine, nutritional or metabolic diseases",QC45
Personal history of mental or behavioural disorder,QC46
Personal history of diseases of the nervous system or sense organs,QC47
Personal history of medical treatment,QC48
Personal history of long-term use of anticoagulants,QC48.0
Other specified personal history of medical treatment,QC48.Y
"Personal history of medical treatment, unspecified",QC48.Z
Personal history of noncompliance with medical treatment or regimen,QC49
Personal history of poor personal hygiene,QC4A
Personal history of self-harm,QC4B
Personal history of other specified health problems,QC4Y
"Personal history of health problems, unspecified",QC4Z
"Late effect of prior health problem, not elsewhere classified",QC50
Family history of infectious diseases,QC60
Family history of malignant neoplasm,QC61
Family history of malignant neoplasm of digestive organs,QC61.0
"Family history of malignant neoplasm of trachea, bronchus or lung",QC61.1
"Family history of malignant neoplasm of respiratory or intrathoracic organs other than digestive organs, trachea, bronchus or lung",QC61.2
Family history of malignant neoplasm of breast,QC61.3
Family history of malignant neoplasm of genital organs,QC61.4
Family history of malignant neoplasm of urinary tract,QC61.5
Family history of leukaemia,QC61.6
"Family history of malignant neoplasms of lymphoid, haematopoietic or related tissues",QC61.7
Other specified family history of malignant neoplasm,QC61.Y
"Family history of malignant neoplasm, unspecified",QC61.Z
Family history of diseases of the blood or blood-forming organs,QC62
Family history of disorders involving the immune mechanism,QC63
"Family history of endocrine, nutritional or metabolic diseases",QC64
Family history of diabetes mellitus,QC64.0
"Other specified family history of endocrine, nutritional or metabolic diseases",QC64.Y
"Family history of endocrine, nutritional or metabolic diseases, unspecified",QC64.Z
Family history of mental or behavioural disorder,QC65
Family history of eye or ear disorders,QC66
Family history of ischaemic heart disease or other diseases of the circulatory system,QC67
Family history of consanguinity,QC68
Family history of stroke,QC69
Family history of other specified health problems,QC6Y
"Family history of health problems, unspecified",QC6Z
Other specified personal or family history or late effect of prior health problems,QC8Y
"Personal or family history or late effect of prior health problems, unspecified",QC8Z
Contact with or exposure to communicable diseases,QC90
Contact with or exposure to intestinal infectious diseases,QC90.0
Contact with or exposure to tuberculosis,QC90.1
Contact with or exposure to infections with a predominantly sexual mode of transmission,QC90.2
Contact with or exposure to rabies,QC90.3
Contact with or exposure to rubella,QC90.4
Contact with or exposure to viral hepatitis,QC90.5
Contact with or exposure to human immunodeficiency virus,QC90.6
"Contact with or exposure to pediculosis, acariasis or other infestations",QC90.7
Contact with or exposure to other specified communicable diseases,QC90.Y
"Contact with or exposure to communicable diseases, unspecified",QC90.Z
Carrier of salmonella typhi,QD00
Carrier of intestinal infectious agents,QD01
Asymptomatic enteric carriage of Entamoeba,QD01.0
Other specified carrier of intestinal infectious agents,QD01.Y
"Carrier of intestinal infectious agents, unspecified",QD01.Z
Carrier of corynebacterium diphtheriae,QD02
Carrier of infectious agents with a predominantly sexual mode of transmission,QD03
Asymptomatic colonization of the skin by virulent or therapy resistant bacteria,QD04
Carrier of other specified infectious disease agent,QD0Y
"Carrier of infectious disease agent, unspecified",QD0Z
Other specified health status associated with infectious or certain specified conditions,QD2Y
Unspecified health status associated with infectious or certain specified conditions,QD2Z
Concern about breast appearance,QD30
Contact with health services for concerns about body image related to pregnancy,QD31
Other specified concern about body appearance,QD3Y
"Concern about body appearance, unspecified",QD3Z
Poverty,QD50
Low income,QD51
Other specified problems associated with finances,QD5Y
"Problems associated with finances, unspecified",QD5Z
Problems associated with inadequate drinking-water,QD60
Inadequate food,QD61
"Problems associated with drinking water or nutrition, unspecified",QD6Z
Problems associated with the natural environment or human-made changes to the environment,QD70
Problems associated with exposure to noise,QD70.0
Problems associated with exposure to air pollution,QD70.1
Problems associated with exposure to water pollution,QD70.2
Problems associated with exposure to soil pollution,QD70.3
Problems associated with exposure to radiation,QD70.4
Problems associated with exposure to tobacco smoke,QD70.5
Problems associated with inadequate access to electricity,QD70.6
"Problems associated with the natural environment or human-made changes to the environment, unspecified",QD70.Z
Problems associated with housing,QD71
Homelessness,QD71.0
Inadequate housing,QD71.1
Problems related to living in residential institution,QD71.2
"Problems associated with housing, unspecified",QD71.Z
Other specified problems associated with the environment,QD7Y
"Problems associated with the environment, unspecified",QD7Z
Problem associated with unemployment,QD80
Problem associated with change of job,QD81
Problem associated with threat of job loss,QD82
Problem with employment conditions,QD83
Problem associated with uncongenial work,QD83.0
Problem associated with stressful work schedule,QD83.1
Other specified problem with employment conditions,QD83.Y
Occupational exposure to risk-factors,QD84
Occupational exposure to dust,QD84.0
Occupational exposure to toxic agents in agriculture,QD84.1
Occupational exposure to toxic agents in industries other than agriculture,QD84.2
Occupational exposure to vibration,QD84.3
Occupational exposure to ergonomic risk,QD84.4
Other specified occupational exposure to risk-factors,QD84.Y
"Occupational exposure to risk-factors, unspecified",QD84.Z
Burnout,QD85
Other specified problems associated with employment or unemployment,QD8Y
"Problems associated with employment or unemployment, unspecified",QD8Z
Problem associated with illiteracy or low-level literacy,QD90
Problem associated with education unavailable or unattainable,QD91
Problem with educational progress,QD92
Other specified problems associated with education,QD9Y
"Problems associated with education, unspecified",QD9Z
Acculturation difficulty,QE00
"Stress, not elsewhere classified",QE01
Social role conflict,QE02
Social exclusion or rejection,QE03
Target of perceived adverse discrimination or persecution,QE04
Other specified problems associated with social or cultural environment,QE0Y
"Problems associated with social or cultural environment, unspecified",QE0Z
Hazardous alcohol use,QE10
Hazardous drug use,QE11
Hazardous use of opioids,QE11.0
Hazardous use of cannabis,QE11.1
"Hazardous use of sedatives, hypnotics or anxiolytics",QE11.2
Hazardous use of cocaine,QE11.3
Hazardous use of stimulants including amphetamines or methamphetamine,QE11.4
Hazardous use of caffeine,QE11.5
Hazardous use of MDMA or related drugs,QE11.6
Hazardous use of dissociative drugs including ketamine or PCP,QE11.7
Hazardous use of other specified psychoactive substances,QE11.8
Hazardous use of unknown or unspecified psychoactive substances,QE11.9
Other specified hazardous drug use,QE11.Y
"Hazardous drug use, unspecified",QE11.Z
Hazardous nicotine use,QE12
Tobacco use,QE13
Other specified hazardous substance use,QE1Y
"Hazardous substance use, unspecified",QE1Z
Lack of physical exercise,QE20
Hazardous gambling or betting,QE21
Hazardous gaming,QE22
Problems with inappropriate diet or eating habits,QE23
Problems with hygiene behaviours,QE24
Problems with oral health behaviours,QE25
Problem with sun exposure behaviour,QE26
Problem with behaviours related to psychological health or wellbeing,QE27
Problem with health literacy,QE28
Problems with other specified health-related behaviours,QE2Y
"Problem with health-related behaviours, unspecified",QE2Z
Insufficient social insurance support,QE30
"Insufficient social insurance support, aged",QE30.0
"Insufficient social insurance support, disability",QE30.1
"Insufficient social insurance support, unemployment",QE30.2
"Insufficient social insurance support, family support",QE30.3
Insufficient social welfare support,QE31
"Insufficient social welfare support, child protection",QE31.0
"Insufficient social welfare support, protection against domestic violence",QE31.1
"Insufficient social welfare support, protection against homelessness",QE31.2
"Insufficient social welfare support, post prison services",QE31.3
Other specified problems associated with social insurance or welfare,QE3Y
"Problems associated with social insurance or welfare, unspecified",QE3Z
Problem associated with conviction in civil or criminal proceedings without imprisonment,QE40
Problem associated with imprisonment and other incarceration,QE41
Problem associated with release from prison,QE42
Other specified problems associated with the justice system,QE4Y
"Problems associated with the justice system, unspecified",QE4Z
Problem associated with interpersonal interactions,QE50
Problem associated with relationship with friend,QE50.0
Relationships with teachers or classmates,QE50.1
Problem associated with relationships with people at work,QE50.2
"Relationships with neighbours, tenant or landlord",QE50.3
"Relationship with parents, in-laws or other family members",QE50.4
Discord with counsellors,QE50.5
Inadequate social skills,QE50.6
Personality difficulty,QE50.7
Other specified problem associated with interpersonal interactions,QE50.Y
Problem associated with interactions with spouse or partner,QE51
Relationship distress with spouse or partner,QE51.0
History of spouse or partner violence,QE51.1
Problem associated with interpersonal interactions in childhood,QE52
Caregiver-child relationship problem,QE52.0
Loss of love relationship in childhood,QE52.1
Other specified problems associated with relationships,QE5Y
"Problems associated with relationships, unspecified",QE5Z
Absence of family member,QE60
Disappearance or death of family member,QE61
Loss or death of child,QE61.0
Disappearance or death of other family member,QE61.Y
Uncomplicated bereavement,QE62
"Other specified problems associated with absence, loss or death of others",QE6Y
"Problems associated with absence, loss or death of others, unspecified",QE6Z
"Problems related to primary support group, including family circumstances",QE70
Inadequate family support,QE70.0
Disruption of family by separation or divorce,QE70.1
Dependent relative needing care at home,QE70.2
"Problems related to primary support group, including family circumstances, unspecified",QE70.Z
Victim of crime or terrorism,QE80
"Exposure to disaster, war or other hostilities",QE81
Personal history of maltreatment,QE82
Personal history of physical abuse,QE82.0
Personal history of sexual abuse,QE82.1
Personal history of psychological abuse,QE82.2
Personal history of neglect,QE82.3
Other specified personal history of maltreatment,QE82.Y
"Personal history of maltreatment, unspecified",QE82.Z
Personal frightening experience in childhood,QE83
Acute stress reaction,QE84
Other specified problems associated with harmful or traumatic events,QE8Y
"Problems associated with harmful or traumatic events, unspecified",QE8Z
Inadequate parental supervision or control,QE90
Parental overprotection,QE91
Altered pattern of family relationships in childhood,QE92
Removal from home in childhood,QE93
Institutional upbringing,QE94
Inappropriate parental pressure or other abnormal qualities of upbringing,QE95
Events resulting in loss of self-esteem in childhood,QE96
Other specified problems associated with upbringing,QE9Y
"Problems associated with upbringing, unspecified",QE9Z
Acquired absence of limb,QF00
Acquired absence of organs,QF01
Acquired absence of breast,QF01.0
Acquired absence of genital organs,QF01.1
Other specified acquired absence of organs,QF01.Y
"Acquired absence of organs, unspecified",QF01.Z
Other specified acquired absence of body structure,QF0Y
"Acquired absence of body structure, unspecified",QF0Z
Limited function or disability of body organ or system,QF10
Difficulty or need for assistance with learning,QF20
Difficulty or need for assistance with general life tasks or life management,QF21
Difficulty or need for assistance with communication,QF22
Difficulty or need for assistance with mobility,QF23
Difficulty or need for assistance with self-care,QF24
Difficulty or need for assistance with relationships,QF25
Difficulty or need for assistance with household tasks,QF26
Difficulty or need for assistance at home and no other household member able to render care,QF27
Difficulty or need for assistance with work activities,QF28
Difficulty or need for assistance with major areas of life,QF29
Difficulty or need for assistance with community participation,QF2A
Need for continuous supervision,QF2B
Difficulty or need for assistance with other specified activity,QF2Y
Difficulty or need for assistance with unspecified activity,QF2Z
